step,action,reward,pacman_x,pacman_y,food_remaining,done
0,Stop,-1.0,9,1,97,False
1,Stop,-1.0,9,1,97,False
2,Stop,-1.0,9,1,97,False
3,Stop,-1.0,9,1,97,False
4,Stop,-1.0,9,1,97,False
5,Stop,-1.0,9,1,97,False
6,Stop,-1.0,9,1,97,False
7,Stop,-1.0,9,1,97,False
8,Stop,-1.0,9,1,97,False
9,Stop,-1.0,9,1,97,False
10,Stop,-1.0,9,1,97,False
11,East,9.0,9,1,97,False
12,East,9.0,10,1,96,False
13,East,9.0,11,1,95,False
14,East,9.0,12,1,94,False
15,West,-1.0,13,1,93,False
16,West,-1.0,12,1,93,False
17,East,-1.0,11,1,93,False
18,East,-1.0,12,1,93,False
19,North,9.0,13,1,93,False
20,North,9.0,13,2,92,False
21,East,9.0,13,3,91,False
22,East,9.0,14,3,90,False
23,South,9.0,15,3,89,False
24,South,9.0,15,2,88,False
25,Stop,-1.0,15,1,87,False
26,Stop,-1.0,15,1,87,False
27,Stop,-1.0,15,1,87,False
28,East,9.0,15,1,87,False
29,East,9.0,16,1,86,False
30,East,49.0,17,1,85,False
31,West,-1.0,18,1,85,False
32,West,-1.0,17,1,85,False
33,East,-1.0,16,1,85,False
34,East,-1.0,17,1,85,False
35,North,9.0,18,1,85,False
36,North,9.0,18,2,84,False
37,North,9.0,18,3,83,False
38,North,9.0,18,4,82,False
39,West,9.0,18,5,81,False
40,West,9.0,17,5,80,False
41,South,9.0,16,5,79,False
42,South,9.0,16,4,78,False
43,Stop,-1.0,16,3,77,False
44,West,-1.0,16,3,77,False
45,West,-1.0,15,3,77,False
46,West,-1.0,14,3,77,False
47,East,-1.0,13,3,77,False
48,East,-1.0,14,3,77,False
49,South,-1.0,15,3,77,False
50,South,-1.0,15,2,77,False
51,East,-1.0,15,1,77,False
52,East,-1.0,16,1,77,False
53,East,199.0,17,1,77,False
54,North,-1.0,18,1,77,False
55,North,-1.0,18,2,77,False
56,North,-1.0,18,3,77,False
57,North,-1.0,18,4,77,False
58,North,9.0,18,5,77,False
59,North,9.0,18,6,76,False
60,North,9.0,18,7,75,False
61,North,9.0,18,8,74,False
62,West,9.0,18,9,73,False
63,West,9.0,17,9,72,False
64,West,9.0,16,9,71,False
65,South,9.0,15,9,70,False
66,South,209.0,15,8,69,False
67,Stop,-1.0,15,7,68,False
68,East,9.0,15,7,68,False
69,Stop,-1.0,16,7,67,False
70,South,9.0,16,7,67,False
71,South,-1.0,16,6,66,False
72,West,9.0,16,5,66,False
73,West,9.0,15,5,65,False
74,West,9.0,14,5,64,False
75,South,9.0,13,5,63,False
76,South,-1.0,13,4,62,False
77,West,9.0,13,3,62,False
78,West,9.0,12,3,61,False
79,West,9.0,11,3,60,False
80,West,9.0,10,3,59,False
81,West,9.0,9,3,58,False
82,West,9.0,8,3,57,False
83,West,9.0,7,3,56,False
84,South,9.0,6,3,55,False
85,South,9.0,6,2,54,False
86,East,9.0,6,1,53,False
87,East,9.0,7,1,52,False
88,West,-1.0,8,1,51,False
89,West,-1.0,7,1,51,False
90,North,-1.0,6,1,51,False
91,North,-1.0,6,2,51,False
92,North,9.0,6,3,51,False
93,North,9.0,6,4,50,False
94,North,9.0,6,5,49,False
95,North,9.0,6,6,48,False
96,East,9.0,6,7,47,False
97,East,9.0,7,7,46,False
98,West,-1.0,8,7,45,False
99,West,-1.0,7,7,45,False
100,North,9.0,6,7,45,False
101,North,9.0,6,8,44,False
102,South,-1.0,6,9,43,False
103,South,-1.0,6,8,43,False
104,East,-1.0,6,7,43,False
105,East,-1.0,7,7,43,False
106,East,9.0,8,7,43,False
107,East,9.0,9,7,42,False
108,East,9.0,10,7,41,False
109,East,9.0,11,7,40,False
110,East,9.0,12,7,39,False
111,South,9.0,13,7,38,False
112,North,-1.0,13,6,37,False
113,East,9.0,13,7,37,False
114,East,-1.0,14,7,36,False
115,East,-1.0,15,7,36,False
116,Stop,-1.0,16,7,36,False
117,Stop,-1.0,16,7,36,False
118,Stop,-1.0,16,7,36,False
119,West,-1.0,16,7,36,False
120,West,-1.0,15,7,36,False
121,West,-1.0,14,7,36,False
122,North,9.0,13,7,36,False
123,North,9.0,13,8,35,False
124,West,9.0,13,9,34,False
125,West,9.0,12,9,33,False
126,West,9.0,11,9,32,False
127,West,9.0,10,9,31,False
128,West,9.0,9,9,30,False
129,West,9.0,8,9,29,False
130,West,-1.0,7,9,28,False
131,South,-1.0,6,9,28,False
132,South,-1.0,6,8,28,False
133,West,9.0,6,7,28,False
134,West,9.0,5,7,27,False
135,West,9.0,4,7,26,False
