step,action,reward,pacman_x,pacman_y,food_remaining,done
0,Stop,-1.0,9,1,97,False
1,Stop,-1.0,9,1,97,False
2,Stop,-1.0,9,1,97,False
3,East,9.0,9,1,97,False
4,East,9.0,10,1,96,False
5,East,9.0,11,1,95,False
6,East,9.0,12,1,94,False
7,North,9.0,13,1,93,False
8,North,9.0,13,2,92,False
9,West,9.0,13,3,91,False
10,West,9.0,12,3,90,False
11,West,9.0,11,3,89,False
12,East,-1.0,10,3,88,False
13,East,-1.0,11,3,88,False
14,East,-1.0,12,3,88,False
15,East,9.0,13,3,88,False
16,East,9.0,14,3,87,False
17,South,9.0,15,3,86,False
18,South,9.0,15,2,85,False
19,East,9.0,15,1,84,False
20,East,9.0,16,1,83,False
21,East,49.0,17,1,82,False
22,North,9.0,18,1,82,False
23,North,9.0,18,2,81,False
24,North,9.0,18,3,80,False
25,North,9.0,18,4,79,False
26,West,9.0,18,5,78,False
27,West,9.0,17,5,77,False
28,West,209.0,16,5,76,False
29,West,9.0,15,5,75,False
30,West,9.0,14,5,74,False
31,South,9.0,13,5,73,False
32,South,-1.0,13,4,72,False
33,East,-1.0,13,3,72,False
34,East,-1.0,14,3,72,False
35,East,9.0,15,3,72,False
36,North,9.0,16,3,71,False
37,North,-1.0,16,4,70,False
38,North,9.0,16,5,70,False
39,North,9.0,16,6,69,False
40,West,9.0,16,7,68,False
41,West,9.0,15,7,67,False
42,West,9.0,14,7,66,False
43,South,9.0,13,7,65,False
44,South,-1.0,13,6,64,False
45,East,-1.0,13,5,64,False
46,East,-1.0,14,5,64,False
47,East,-1.0,15,5,64,False
48,East,-1.0,16,5,64,False
49,East,-1.0,17,5,64,False
50,North,9.0,18,5,64,False
51,North,9.0,18,6,63,False
52,North,9.0,18,7,62,False
53,North,9.0,18,8,61,False
54,West,9.0,18,9,60,False
55,West,9.0,17,9,59,False
56,West,9.0,16,9,58,False
57,South,9.0,15,9,57,False
58,South,-1.0,15,8,56,False
59,North,-1.0,15,7,56,False
60,North,199.0,15,8,56,False
61,South,-1.0,15,9,56,False
62,South,-1.0,15,8,56,False
63,Stop,-1.0,15,7,56,False
64,West,-1.0,15,7,56,False
65,West,-1.0,14,7,56,False
66,South,-1.0,13,7,56,False
67,South,-1.0,13,6,56,False
68,North,-1.0,13,5,56,False
69,North,-1.0,13,6,56,False
70,North,9.0,13,7,56,False
71,North,9.0,13,8,55,False
72,West,9.0,13,9,54,False
73,West,9.0,12,9,53,False
74,West,9.0,11,9,52,False
75,West,9.0,10,9,51,False
76,West,9.0,9,9,50,False
77,East,-1.0,8,9,49,False
78,East,-1.0,9,9,49,False
79,East,-1.0,10,9,49,False
80,East,-1.0,11,9,49,False
81,East,-1.0,12,9,49,False
82,South,-1.0,13,9,49,False
83,South,-1.0,13,8,49,False
84,South,-1.0,13,7,49,False
85,South,-1.0,13,6,49,False
86,South,-1.0,13,5,49,False
87,South,-1.0,13,4,49,False
88,North,-1.0,13,3,49,False
89,North,-1.0,13,4,49,False
90,North,-1.0,13,5,49,False
91,North,-1.0,13,6,49,False
92,West,9.0,13,7,49,False
93,West,9.0,12,7,48,False
94,West,9.0,11,7,47,False
95,West,9.0,10,7,46,False
96,East,-1.0,9,7,45,False
97,East,-1.0,10,7,45,False
98,East,-1.0,11,7,45,False
99,East,-1.0,12,7,45,False
100,South,-1.0,13,7,45,False
101,South,-1.0,13,6,45,False
102,South,-1.0,13,5,45,False
103,South,-1.0,13,4,45,False
104,South,-1.0,13,3,45,False
105,South,-1.0,13,2,45,False
106,Stop,-1.0,13,1,45,False
107,West,-1.0,13,1,45,False
108,West,-1.0,12,1,45,False
109,West,-1.0,11,1,45,False
110,West,-1.0,10,1,45,False
111,West,9.0,9,1,45,False
112,West,9.0,8,1,44,False
113,West,9.0,7,1,43,False
114,North,9.0,6,1,42,False
115,North,9.0,6,2,41,False
116,East,9.0,6,3,40,False
117,East,9.0,7,3,39,False
118,East,9.0,8,3,38,False
119,West,-1.0,9,3,37,False
120,West,-1.0,8,3,37,False
121,West,-1.0,7,3,37,False
122,South,-1.0,6,3,37,False
123,South,-1.0,6,2,37,False
124,Stop,-1.0,6,1,37,False
125,North,-1.0,6,1,37,False
126,North,-1.0,6,2,37,False
127,West,9.0,6,3,37,False
128,West,9.0,5,3,36,False
129,South,9.0,4,3,35,False
130,South,9.0,4,2,34,False
131,Stop,-1.0,4,1,33,False
132,West,9.0,4,1,33,False
133,West,9.0,3,1,32,False
134,West,9.0,2,1,31,False
135,Stop,-1.0,1,1,30,False
136,North,9.0,1,1,30,False
