step,action,reward,pacman_x,pacman_y,food_remaining,done
0,Stop,-1.0,9,1,97,False
1,Stop,-1.0,9,1,97,False
2,Stop,-1.0,9,1,97,False
3,East,9.0,9,1,97,False
4,East,9.0,10,1,96,False
5,East,9.0,11,1,95,False
6,East,9.0,12,1,94,False
7,North,9.0,13,1,93,False
8,North,9.0,13,2,92,False
9,South,-1.0,13,3,91,False
10,South,-1.0,13,2,91,False
11,North,-1.0,13,1,91,False
12,North,-1.0,13,2,91,False
13,East,9.0,13,3,91,False
14,East,9.0,14,3,90,False
15,South,9.0,15,3,89,False
16,South,9.0,15,2,88,False
17,East,9.0,15,1,87,False
18,West,-1.0,16,1,86,False
19,Stop,-1.0,15,1,86,False
20,North,-1.0,15,1,86,False
21,North,-1.0,15,2,86,False
22,East,9.0,15,3,86,False
23,North,9.0,16,3,85,False
24,North,9.0,16,4,84,False
25,East,9.0,16,5,83,False
26,East,9.0,17,5,82,False
27,West,-1.0,18,5,81,False
28,East,-1.0,17,5,81,False
29,North,9.0,18,5,81,False
30,North,9.0,18,6,80,False
31,North,9.0,18,7,79,False
32,North,9.0,18,8,78,False
33,West,9.0,18,9,77,False
34,West,9.0,17,9,76,False
35,West,9.0,16,9,75,False
36,South,9.0,15,9,74,False
37,South,9.0,15,8,73,False
38,East,9.0,15,7,72,False
39,South,9.0,16,7,71,False
40,South,-1.0,16,6,70,False
41,East,-1.0,16,5,70,False
42,East,-1.0,17,5,70,False
43,South,9.0,18,5,70,False
44,South,9.0,18,4,69,False
45,South,9.0,18,3,68,False
46,South,49.0,18,2,67,False
47,West,9.0,18,1,67,False
48,West,-1.0,17,1,66,False
49,West,-1.0,16,1,66,False
50,North,-1.0,15,1,66,False
51,North,-1.0,15,2,66,False
52,Stop,-1.0,15,3,66,False
53,East,-1.0,15,3,66,False
54,North,-1.0,16,3,66,False
55,North,199.0,16,4,66,False
56,West,9.0,16,5,66,False
57,West,9.0,15,5,65,False
58,West,9.0,14,5,64,False
59,Stop,-1.0,13,5,63,False
60,South,9.0,13,5,63,False
61,South,-1.0,13,4,62,False
62,South,-1.0,13,3,62,False
63,South,-1.0,13,2,62,False
64,West,199.0,13,1,62,False
65,West,-1.0,12,1,62,False
66,West,-1.0,11,1,62,False
67,West,-1.0,10,1,62,False
68,West,9.0,9,1,62,False
69,West,9.0,8,1,61,False
70,West,9.0,7,1,60,False
71,North,9.0,6,1,59,False
72,North,9.0,6,2,58,False
73,East,9.0,6,3,57,False
74,East,9.0,7,3,56,False
75,East,9.0,8,3,55,False
76,East,9.0,9,3,54,False
77,East,9.0,10,3,53,False
78,West,-1.0,11,3,52,False
79,West,-1.0,10,3,52,False
80,East,-1.0,9,3,52,False
81,East,-1.0,10,3,52,False
82,East,9.0,11,3,52,False
83,West,-1.0,12,3,51,False
84,West,-1.0,11,3,51,False
85,West,-1.0,10,3,51,False
86,West,-1.0,9,3,51,False
87,West,-1.0,8,3,51,False
88,West,-1.0,7,3,51,False
89,North,9.0,6,3,51,False
90,North,9.0,6,4,50,False
91,North,9.0,6,5,49,False
92,North,9.0,6,6,48,False
93,West,9.0,6,7,47,False
94,West,9.0,5,7,46,False
95,North,9.0,4,7,45,False
96,North,9.0,4,8,44,False
97,West,9.0,4,9,43,False
98,West,9.0,3,9,42,False
99,West,49.0,2,9,41,False
100,South,9.0,1,9,41,False
101,South,9.0,1,8,40,False
102,South,9.0,1,7,39,False
103,South,9.0,1,6,38,False
104,East,9.0,1,5,37,False
105,East,9.0,2,5,36,False
106,North,9.0,3,5,35,False
107,North,9.0,3,6,34,False
108,South,-1.0,3,7,33,False
109,South,-1.0,3,6,33,False
110,East,9.0,3,5,33,False
111,East,9.0,4,5,32,False
112,East,-1.0,5,5,31,False
113,South,-1.0,6,5,31,False
114,South,-1.0,6,4,31,False
115,East,-1.0,6,3,31,False
116,East,-1.0,7,3,31,False
117,East,-1.0,8,3,31,False
118,East,-1.0,9,3,31,False
119,East,-1.0,10,3,31,False
120,East,-1.0,11,3,31,False
121,East,-1.0,12,3,31,False
122,South,-1.0,13,3,31,False
123,South,199.0,13,2,31,False
124,West,-1.0,13,1,31,False
125,West,-1.0,12,1,31,False
126,West,-1.0,11,1,31,False
127,West,-1.0,10,1,31,False
128,West,-1.0,9,1,31,False
129,West,-1.0,8,1,31,False
130,West,-1.0,7,1,31,False
131,North,-1.0,6,1,31,False
132,North,-1.0,6,2,31,False
133,West,9.0,6,3,31,False
134,West,9.0,5,3,30,False
135,West,9.0,4,3,29,False
136,North,9.0,3,3,28,False
137,South,-1.0,3,4,27,False
