step,action,reward,pacman_x,pacman_y,food_remaining,done
0,Stop,-1.0,9,1,97,False
1,Stop,-1.0,9,1,97,False
2,Stop,-1.0,9,1,97,False
3,Stop,-1.0,9,1,97,False
4,Stop,-1.0,9,1,97,False
5,East,9.0,9,1,97,False
6,East,9.0,10,1,96,False
7,East,9.0,11,1,95,False
8,West,-1.0,12,1,94,False
9,West,-1.0,11,1,94,False
10,West,-1.0,10,1,94,False
11,West,9.0,9,1,94,False
12,West,9.0,8,1,93,False
13,West,9.0,7,1,92,False
14,North,9.0,6,1,91,False
15,North,9.0,6,2,90,False
16,West,9.0,6,3,89,False
17,West,9.0,5,3,88,False
18,South,9.0,4,3,87,False
19,South,9.0,4,2,86,False
20,West,9.0,4,1,85,False
21,West,9.0,3,1,84,False
22,West,9.0,2,1,83,False
23,North,9.0,1,1,82,False
24,North,9.0,1,2,81,False
25,North,9.0,1,3,80,False
26,North,9.0,1,4,79,False
27,East,9.0,1,5,78,False
28,East,9.0,2,5,77,False
29,South,9.0,3,5,76,False
30,South,9.0,3,4,75,False
31,North,-1.0,3,3,74,False
32,North,-1.0,3,4,74,False
33,East,9.0,3,5,74,False
34,East,9.0,4,5,73,False
35,East,9.0,5,5,72,False
36,North,9.0,6,5,71,False
37,North,9.0,6,6,70,False
38,West,9.0,6,7,69,False
39,West,9.0,5,7,68,False
40,West,9.0,4,7,67,False
41,South,9.0,3,7,66,False
42,South,-1.0,3,6,65,False
43,West,-1.0,3,5,65,False
44,West,-1.0,2,5,65,False
45,North,9.0,1,5,65,False
46,North,9.0,1,6,64,False
47,North,9.0,1,7,63,False
48,North,49.0,1,8,62,False
49,East,9.0,1,9,62,False
50,East,9.0,2,9,61,False
51,East,9.0,3,9,60,False
52,South,9.0,4,9,59,False
53,South,-1.0,4,8,58,False
54,East,-1.0,4,7,58,False
55,East,-1.0,5,7,58,False
56,South,-1.0,6,7,58,False
57,South,-1.0,6,6,58,False
58,South,9.0,6,5,58,False
59,South,-1.0,6,4,57,False
60,East,9.0,6,3,57,False
61,East,9.0,7,3,56,False
62,East,9.0,8,3,55,False
63,East,9.0,9,3,54,False
64,East,9.0,10,3,53,False
65,East,9.0,11,3,52,False
66,East,9.0,12,3,51,False
67,South,9.0,13,3,50,False
68,South,209.0,13,2,49,False
69,West,-1.0,13,1,48,False
70,East,-1.0,12,1,48,False
71,Stop,-1.0,13,1,48,False
72,North,-1.0,13,1,48,False
73,North,-1.0,13,2,48,False
74,East,9.0,13,3,48,False
75,East,9.0,14,3,47,False
76,South,9.0,15,3,46,False
77,South,9.0,15,2,45,False
78,Stop,-1.0,15,1,44,False
79,North,-1.0,15,1,44,False
80,North,-1.0,15,2,44,False
81,East,9.0,15,3,44,False
82,North,9.0,16,3,43,False
83,North,9.0,16,4,42,False
84,North,9.0,16,5,41,False
85,North,9.0,16,6,40,False
86,West,209.0,16,7,39,False
87,West,9.0,15,7,38,False
88,West,9.0,14,7,37,False
89,South,9.0,13,7,36,False
90,South,9.0,13,6,35,False
91,East,9.0,13,5,34,False
92,East,9.0,14,5,33,False
93,East,-1.0,15,5,32,False
94,East,9.0,16,5,32,False
95,West,-1.0,17,5,31,False
96,West,-1.0,16,5,31,False
97,West,-1.0,15,5,31,False
98,West,-1.0,14,5,31,False
99,South,9.0,13,5,31,False
100,South,-1.0,13,4,30,False
101,East,-1.0,13,3,30,False
102,East,-1.0,14,3,30,False
103,East,-1.0,15,3,30,False
104,North,-1.0,16,3,30,False
105,South,-1.0,16,4,30,False
106,Stop,-1.0,16,3,30,False
107,Stop,-1.0,16,3,30,False
108,West,-1.0,16,3,30,False
109,West,-1.0,15,3,30,False
110,West,-1.0,14,3,30,False
111,South,-1.0,13,3,30,False
112,North,-1.0,13,2,30,False
113,North,-1.0,13,3,30,False
114,North,-1.0,13,4,30,False
115,North,-1.0,13,5,30,False
116,North,-1.0,13,6,30,False
117,West,9.0,13,7,30,False
118,West,9.0,12,7,29,False
119,West,9.0,11,7,28,False
120,West,9.0,10,7,27,False
121,West,9.0,9,7,26,False
122,West,9.0,8,7,25,False
123,West,-1.0,7,7,24,False
124,North,9.0,6,7,24,False
125,North,9.0,6,8,23,False
126,East,9.0,6,9,22,False
127,East,9.0,7,9,21,False
128,East,9.0,8,9,20,False
129,East,9.0,9,9,19,False
130,East,9.0,10,9,18,False
131,East,9.0,11,9,17,False
132,East,9.0,12,9,16,False
133,South,9.0,13,9,15,False
134,South,-1.0,13,8,14,False
135,East,-1.0,13,7,14,False
136,East,-1.0,14,7,14,False
137,North,9.0,15,7,14,False
138,North,9.0,15,8,13,False
139,East,9.0,15,9,12,False
140,East,9.0,16,9,11,False
141,East,9.0,17,9,10,False
142,South,9.0,18,9,9,False
143,South,9.0,18,8,8,False
144,South,9.0,18,7,7,False
145,South,9.0,18,6,6,False
146,South,9.0,18,5,5,False
147,South,9.0,18,4,4,False
148,South,9.0,18,3,3,False
149,South,49.0,18,2,2,False
150,Stop,-1.0,18,1,2,False
151,Stop,-1.0,18,1,2,False
152,Stop,-1.0,18,1,2,False
153,West,9.0,18,1,2,False
154,West,509.0,17,1,1,True
