step,action,reward,pacman_x,pacman_y,food_remaining,done
0,Stop,-1.0,9,1,97,False
1,Stop,-1.0,9,1,97,False
2,Stop,-1.0,9,1,97,False
3,Stop,-1.0,9,1,97,False
4,East,9.0,9,1,97,False
5,East,9.0,10,1,96,False
6,East,9.0,11,1,95,False
7,East,9.0,12,1,94,False
8,North,9.0,13,1,93,False
9,North,9.0,13,2,92,False
10,East,9.0,13,3,91,False
11,East,9.0,14,3,90,False
12,South,9.0,15,3,89,False
13,South,9.0,15,2,88,False
14,East,9.0,15,1,87,False
15,East,9.0,16,1,86,False
16,East,49.0,17,1,85,False
17,North,9.0,18,1,85,False
18,North,9.0,18,2,84,False
19,North,9.0,18,3,83,False
20,North,9.0,18,4,82,False
21,North,209.0,18,5,81,False
22,North,9.0,18,6,80,False
23,North,9.0,18,7,79,False
24,North,9.0,18,8,78,False
25,West,9.0,18,9,77,False
26,West,9.0,17,9,76,False
27,West,9.0,16,9,75,False
28,South,9.0,15,9,74,False
29,South,9.0,15,8,73,False
30,East,9.0,15,7,72,False
31,Stop,-1.0,16,7,71,False
32,South,9.0,16,7,71,False
33,South,9.0,16,6,70,False
34,East,9.0,16,5,69,False
35,West,-1.0,17,5,68,False
36,West,9.0,16,5,68,False
37,West,9.0,15,5,67,False
38,West,9.0,14,5,66,False
39,East,-1.0,13,5,65,False
40,East,-1.0,14,5,65,False
41,East,-1.0,15,5,65,False
42,South,9.0,16,5,65,False
43,South,9.0,16,4,64,False
44,West,-1.0,16,3,63,False
45,West,-1.0,15,3,63,False
46,West,-1.0,14,3,63,False
47,West,9.0,13,3,63,False
48,West,9.0,12,3,62,False
49,West,9.0,11,3,61,False
50,West,9.0,10,3,60,False
51,West,9.0,9,3,59,False
52,West,9.0,8,3,58,False
53,West,9.0,7,3,57,False
54,West,9.0,6,3,56,False
55,West,209.0,5,3,55,False
56,South,9.0,4,3,54,False
57,South,9.0,4,2,53,False
58,West,9.0,4,1,52,False
59,West,9.0,3,1,51,False
60,West,9.0,2,1,50,False
61,North,9.0,1,1,49,False
62,North,9.0,1,2,48,False
63,North,9.0,1,3,47,False
64,North,9.0,1,4,46,False
65,North,9.0,1,5,45,False
66,North,9.0,1,6,44,False
67,North,9.0,1,7,43,False
68,North,49.0,1,8,42,False
69,East,9.0,1,9,42,False
70,East,9.0,2,9,41,False
71,East,9.0,3,9,40,False
72,South,9.0,4,9,39,False
73,South,9.0,4,8,38,False
74,East,9.0,4,7,37,False
75,East,9.0,5,7,36,False
76,South,9.0,6,7,35,False
77,South,9.0,6,6,34,False
78,South,9.0,6,5,33,False
79,South,-1.0,6,4,32,False
80,East,199.0,6,3,32,False
81,East,-1.0,7,3,32,False
82,East,-1.0,8,3,32,False
83,East,-1.0,9,3,32,False
84,East,-1.0,10,3,32,False
85,East,-1.0,11,3,32,False
86,East,-1.0,12,3,32,False
87,North,9.0,13,3,32,False
88,North,-1.0,13,4,31,False
89,North,209.0,13,5,31,False
90,North,9.0,13,6,30,False
91,North,9.0,13,7,29,False
92,North,9.0,13,8,28,False
93,West,9.0,13,9,27,False
94,West,9.0,12,9,26,False
95,West,9.0,11,9,25,False
96,West,9.0,10,9,24,False
97,West,9.0,9,9,23,False
98,West,9.0,8,9,22,False
99,West,9.0,7,9,21,False
100,South,9.0,6,9,20,False
101,South,-501.0,6,8,19,True
